ID,literal,Meanings
0,亜,"['Asia', 'rank next', 'come after', '-ous']"
1,唖,"['mute', 'dumb']"
2,娃,['beautiful']
3,阿,"['Africa', 'flatter', 'fawn upon', 'corner', 'nook', 'recess']"
4,哀,"['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize']"
5,愛,"['love', 'affection', 'favourite']"
6,挨,"['approach', 'draw near', 'push open']"
7,姶,"['good-looking', 'quiet']"
8,逢,"['meeting', 'tryst', 'date', 'rendezvous']"
9,葵,['hollyhock']
10,茜,"['madder', 'red dye', 'Turkey red']"
11,穐,['autumn']
12,悪,"['bad', 'vice', 'rascal', 'false', 'evil', 'wrong']"
13,握,"['grip', 'hold', 'mould sushi', 'bribe']"
14,渥,"['kindness', 'moisten']"
15,旭,"['rising sun', 'morning sun']"
16,葦,"['reed', 'bullrush']"
17,芦,"['reed', 'bullrush']"
18,鯵,['horse mackerel']
19,梓,"['catalpa tree', 'woodblock printing']"
20,圧,"['pressure', 'push', 'overwhelm', 'oppress', 'dominate']"
21,斡,"['go around', 'rule', 'administer']"
22,扱,"['handle', 'entertain', 'thresh', 'strip']"
23,宛,"['address', 'just like', 'fortunately']"
24,姐,"['elder sister', 'maidservant']"
25,虻,"['gadfly', 'horsefly']"
26,飴,"['rice jelly', 'candy']"
27,絢,['brilliant fabric design']
28,綾,"['design', 'figured cloth', 'twill']"
29,鮎,"['freshwater trout', 'smelt']"
30,或,"['some', 'one', 'or', 'possibly', 'a certain']"
31,粟,['millet']
32,袷,['lined (kimono)']
33,安,"['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful']"
34,庵,"['hermitage', 'retreat']"
35,按,"['hold', 'consider', 'investigate']"
36,暗,"['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded']"
37,案,"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench']"
38,闇,"['get dark', 'gloom', 'disorder']"
39,鞍,['saddle']
40,杏,['apricot']
41,以,"['by means of', 'because', 'in view of', 'compared with']"
42,伊,"['Italy', 'that one']"
43,位,"['rank', 'grade', 'throne', 'crown', 'about', 'some']"
44,依,"['reliant', 'depend on', 'consequently', 'therefore', 'due to']"
45,偉,"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent']"
46,囲,"['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep']"
47,夷,"['barbarian', 'savage', 'Ainu']"
48,委,"['committee', 'entrust to', 'leave to', 'devote', 'discard']"
49,威,"['intimidate', 'dignity', 'majesty', 'menace', 'threaten']"
50,尉,"['military officer', 'jailer', 'old man', 'rank']"
51,惟,"['consider', 'reflect', 'think']"
52,意,"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking']"
53,慰,"['consolation', 'amusement', 'seduce', 'cheer', 'make sport of', 'comfort', 'console']"
54,易,"['easy', 'ready to', 'simple', 'fortune-telling', 'divination']"
55,椅,['chair']
56,為,"['do', 'change', 'make', 'benefit', 'welfare', 'be of use', 'reach to', 'try', 'practice', 'cost', 'serve as', 'good', 'advantage', 'as a result of']"
57,畏,"['fear', 'majestic', 'graciously', 'be apprehensive']"
58,異,"['uncommon', 'different', 'queerness', 'strangeness', 'wonderful', 'curious', 'unusual']"
59,移,"['shift', 'move', 'change', 'drift', 'catch (cold, fire)', 'pass into']"
60,維,"['fiber', 'tie', 'rope']"
61,緯,"['horizontal', 'woof', 'left & right', '(parallels of) latitude', 'prediction']"
62,胃,"['stomach', 'paunch', 'crop', 'craw']"
63,萎,"['wither', 'droop', 'lame']"
64,衣,"['garment', 'clothes', 'dressing']"
65,謂,"['reason', 'origin', 'history', 'oral tradition']"
66,違,"['difference', 'differ']"
67,遺,"['bequeath', 'leave behind', 'reserve']"
68,医,"['doctor', 'medicine']"
69,井,"['well', 'well crib', 'town', 'community']"
70,亥,"['sign of the hog', '9-11PM', 'twelfth sign of the Chinese zodiac']"
71,域,"['range', 'region', 'limits', 'stage', 'level']"
72,育,"['bring up', 'grow up', 'raise', 'rear']"
73,郁,"['cultural progress', 'perfume']"
74,磯,"['seashore', 'beach']"
75,一,"['one', 'one radical (no.1)']"
76,壱,['one (in documents)']
77,溢,"['overflow', 'inundate', 'spill']"
78,逸,"['deviate', 'idleness', 'leisure', 'miss the mark', 'evade', 'elude', 'parry', 'diverge']"
79,稲,['rice plant']
80,茨,"['briar', 'thorn']"
81,芋,['potato']
82,鰯,"['sardine', '(kokuji)']"
83,允,"['license', 'sincerity', 'permit']"
84,印,"['stamp', 'seal', 'mark', 'imprint', 'symbol', 'emblem', 'trademark', 'evidence', 'souvenir', 'India']"
85,咽,"['throat', 'choked', 'smothered', 'stuffy']"
86,員,"['employee', 'member', 'number', 'the one in charge']"
87,因,"['cause', 'factor', 'be associated with', 'depend on', 'be limited to']"
88,姻,"['matrimony', 'marry']"
89,引,"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']"
90,飲,"['drink', 'smoke', 'take']"
91,淫,"['lewdness', 'licentiousness']"
92,胤,"['descendent', 'issue', 'offspring']"
93,蔭,"['shade', 'shadow', 'backing assistance']"
94,院,"['Inst.', 'institution', 'temple', 'mansion', 'school']"
95,陰,"['shade', 'yin', 'negative', 'sex organs', 'secret', 'shadow']"
96,隠,"['conceal', 'hide', 'cover']"
97,韻,"['rhyme', 'elegance', 'tone']"
98,吋,['inch']
99,右,['right']
100,宇,"['eaves', 'roof', 'house', 'heaven']"
101,烏,"['crow', 'raven']"
102,羽,"['feathers', 'counter for birds, rabbits']"
103,迂,['roundabout way']
104,雨,['rain']
105,卯,"['sign of the hare or rabbit', 'fourth sign of Chinese zodiac', '5-7AM', 'east']"
106,鵜,['cormorant']
107,窺,"['lie in wait', 'spy on', 'reconnoiter']"
108,丑,"['sign of the ox or cow', '1-3AM', 'second sign of Chinese zodiac']"
109,碓,['pestle']
110,臼,['mortar']
111,渦,"['whirlpool', 'eddy', 'vortex']"
112,嘘,"['lie', 'falsehood']"
113,唄,"['song', 'ballad']"
114,欝,"['gloom', 'depression', 'melancholy']"
115,蔚,['dense growth']
116,鰻,['eel']
117,姥,['old woman']
118,厩,"['barn', 'stable']"
119,浦,"['bay', 'creek', 'inlet', 'gulf', 'beach', 'seacoast']"
120,瓜,['melon']
121,閏,"['intercalation', 'illegitimate throne']"
122,噂,"['rumor', 'gossip', 'hearsay']"
123,云,['say']
124,運,"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance']"
125,雲,['cloud']
126,荏,"['bean', 'perilla', 'herb', 'soft', 'pliable']"
127,餌,"['food', 'bait', 'prey', 'tempting profit']"
128,叡,"['intelligence', 'imperial']"
129,営,"['camp', 'perform', 'build', 'conduct (business)']"
130,嬰,"['sharp (music)', 'baby']"
131,影,"['shadow', 'silhouette', 'phantom']"
132,映,"['reflect', 'reflection', 'projection']"
133,曳,"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']"
134,栄,"['flourish', 'prosperity', 'honor', 'glory', 'splendor']"
135,永,"['eternity', 'long', 'lengthy']"
136,泳,['swim']
137,洩,"['leak', 'escape']"
138,瑛,"['sparkle of jewelry', 'crystal']"
139,盈,"['fullness', 'enough', 'pride', 'satisfy']"
140,穎,"['heads of grain', 'cleverness']"
141,頴,"['heads of grain', 'cleverness']"
142,英,"['England', 'English', 'hero', 'outstanding', 'calyx']"
143,衛,"['defense', 'protection']"
144,詠,"['recitation', 'poem', 'song', 'composing']"
145,鋭,"['pointed', 'sharpness', 'edge', 'weapon', 'sharp', 'violent']"
146,液,"['fluid', 'liquid', 'juice', 'sap', 'secretion']"
147,疫,['epidemic']
148,益,"['benefit', 'gain', 'profit', 'advantage']"
149,駅,['station']
150,悦,"['ecstasy', 'joy', 'rapture']"
151,謁,"['audience', 'audience (with king)']"
152,越,"['surpass', 'cross over', 'move to', 'exceed', 'Vietnam']"
153,閲,"['review', 'inspection', 'revision']"
154,榎,"['lotus tree', 'nettle tree', 'hackberry']"
155,厭,"['get tired of', 'satiate', 'bore', 'dislike', 'disagreeable', 'unwelcome']"
156,円,"['circle', 'yen', 'round']"
157,園,"['park', 'garden', 'yard', 'farm']"
158,堰,"['dam', 'prevent', 'stop up']"
159,奄,"['cover', 'suffocate', 'obstruct']"
160,宴,"['banquet', 'feast', 'party']"
161,延,"['prolong', 'stretching']"
162,怨,"['grudge', 'show resentment', 'be jealous']"
163,掩,"['cover', 'conceal']"
164,援,"['abet', 'help', 'save']"
165,沿,"['run alongside', 'follow along', 'run along', 'lie along']"
166,演,"['performance', 'act', 'play', 'render', 'stage']"
167,炎,"['inflammation', 'flame', 'blaze']"
168,焔,"['flame', 'blaze']"
169,煙,['smoke']
170,燕,['swallow (bird)']
171,猿,['monkey']
172,縁,"['affinity', 'relation', 'connection', 'edge', 'border', 'verge', 'brink']"
173,艶,"['glossy', 'luster', 'glaze', 'polish', 'charm', 'colorful', 'captivating']"
174,苑,"['garden', 'farm', 'park']"
175,薗,"['garden', 'yard', 'farm']"
176,遠,"['distant', 'far']"
177,鉛,['lead']
178,鴛,['male mandarin duck']
179,塩,['salt']
180,於,"['at', 'in', 'on', 'as for']"
181,汚,"['dirty', 'pollute', 'disgrace', 'rape', 'defile']"
182,甥,['nephew']
183,凹,"['concave', 'hollow', 'sunken']"
184,央,"['center', 'middle']"
185,奥,"['heart', 'interior']"
186,往,"['journey', 'travel', 'chase away', 'let go', 'going', 'before', 'formerly']"
187,応,"['apply', 'answer', 'yes', 'OK', 'reply', 'accept']"
188,押,"['push', 'stop', 'check', 'subdue', 'attach', 'seize', 'weight', 'shove', 'press', 'seal', 'do in spite of']"
189,旺,"['flourishing', 'successful', 'beautiful', 'vigorous']"
190,横,"['sideways', 'side', 'horizontal', 'width', 'woof', 'unreasonable', 'perverse']"
191,欧,['Europe']
192,殴,"['assault', 'hit', 'beat', 'thrash']"
193,王,"['king', 'rule', 'magnate']"
194,翁,['venerable old man']
195,襖,['opaque sliding door']
196,鴬,"['nightingale', 'bush warbler']"
197,鴎,['seagull']
198,黄,['yellow']
199,岡,"['mount', 'hill', 'knoll']"
200,沖,"['open sea', 'offing', 'rise high into sky']"
201,荻,"['reed', 'rush']"
202,億,"['hundred million', '10**8']"
203,屋,"['roof', 'house', 'shop', 'dealer', 'seller']"
204,憶,"['recollection', 'think', 'remember']"
205,臆,"['timidity', 'heart', 'mind', 'fear', 'cowardly']"
206,桶,"['tub', 'bucket']"
207,牡,['male']
208,乙,"['the latter', 'duplicate', 'strange', 'witty', 'fishhook radical (no. 5)']"
209,俺,"['I', 'myself']"
210,卸,['wholesale']
211,恩,"['grace', 'kindness', 'goodness', 'favor', 'mercy', 'blessing', 'benefit']"
212,温,['warm']
213,穏,"['calm', 'quiet', 'moderation']"
214,音,"['sound', 'noise']"
215,下,"['below', 'down', 'descend', 'give', 'low', 'inferior']"
216,化,"['change', 'take the form of', 'influence', 'enchant', 'delude', '-ization']"
217,仮,"['sham', 'temporary', 'interim', 'assumed (name)', 'informal']"
218,何,['what']
219,伽,"['nursing', 'attending', 'entertainer']"
220,価,"['value', 'price']"
221,佳,"['excellent', 'beautiful', 'good', 'pleasing', 'skilled']"
222,加,"['add', 'addition', 'increase', 'join', 'include', 'Canada']"
223,可,"['can', 'passable', 'approval']"
224,嘉,"['applaud', 'praise', 'esteem', 'happy', 'auspicious']"
225,夏,['summer']
226,嫁,"['marry into', 'bride']"
227,家,"['house', 'home', 'family', 'professional', 'expert', 'performer']"
228,寡,"['widow', 'minority', 'few']"
229,科,"['department', 'course', 'section']"
230,暇,"['spare time', 'rest', 'leisure', 'time', 'leave of absence']"
231,果,"['fruit', 'reward', 'carry out', 'achieve', 'complete', 'end', 'finish', 'succeed']"
232,架,"['erect', 'frame', 'mount', 'support', 'shelf', 'construct']"
233,歌,"['song', 'sing']"
234,河,['river']
235,火,['fire']
236,珂,['jewel']
237,禍,"['calamity', 'misfortune', 'evil', 'curse']"
238,禾,['two-branch tree radical (no. 115)']
239,稼,"['earnings', 'work', 'earn money']"
240,箇,['counter for articles']
241,花,['flower']
242,苛,"['torment', 'scold', 'chastise']"
243,茄,['eggplant']
244,荷,"['baggage', 'shoulder-pole load', 'bear (a burden)', 'shoulder (a gun)', 'load', 'cargo', 'freight']"
245,華,"['splendor', 'flower', 'petal', 'shine', 'luster', 'ostentatious', 'showy', 'gay', 'gorgeous']"
246,菓,"['candy', 'cakes', 'fruit']"
247,蝦,"['shrimp', 'prawn', 'lobster']"
248,課,"['chapter', 'lesson', 'section', 'department', 'division', 'counter for chapters (of a book)']"
249,嘩,['noisy']
250,貨,"['freight', 'goods', 'property']"
251,迦,['(used phonetically)']
252,過,"['overdo', 'exceed', 'go beyond', 'error']"
253,霞,"['be hazy', 'grow dim', 'blurred']"
254,蚊,['mosquito']
255,俄,"['sudden', 'abrupt', 'improvised']"
256,峨,['high mountain']
257,我,"['ego', 'I', 'selfish', 'our', 'oneself']"
258,牙,"['tusk', 'fang', 'tusk radical (no. 92)']"
259,画,"['brush-stroke', 'picture']"
260,臥,"['bend down', 'bow', 'lie prostrate']"
261,芽,"['bud', 'sprout', 'spear', 'germ']"
262,蛾,['moth']
263,賀,"['congratulations', 'joy']"
264,雅,"['gracious', 'elegant', 'graceful', 'refined']"
265,餓,"['starve', 'hungry', 'thirst']"
266,駕,"['vehicle', 'palanquin', 'litter', 'hitch up an animal']"
267,介,"['jammed in', 'shellfish', 'mediate', 'concern oneself with']"
268,会,"['meeting', 'meet', 'party', 'association', 'interview', 'join']"
269,解,"['unravel', 'notes', 'key', 'explanation', 'understanding', 'untie', 'undo', 'solve', 'answer', 'cancel', 'absolve', 'explain', 'minute']"
270,回,"['-times', 'round', 'game', 'revolve', 'counter for occurrences']"
271,塊,"['clod', 'lump', 'chunk', 'clot', 'mass']"
272,壊,"['demolition', 'break', 'destroy']"
